topic,text,label
Artificial Intelligence,AI can automate repetitive tasks and increase efficiency,1
Artificial Intelligence,AI systems can work 24/7 without fatigue,1
Artificial Intelligence,AI improves decision making through data analysis,1
Artificial Intelligence,AI assists doctors in accurate diagnosis,1
Artificial Intelligence,Automation reduces human errors in processes,1
Artificial Intelligence,AI enhances cybersecurity monitoring,1
Artificial Intelligence,Smart assistants simplify daily activities,1
Artificial Intelligence,AI boosts productivity in businesses,1
Artificial Intelligence,AI enables personalized recommendations,1
Artificial Intelligence,AI helps optimize logistics and supply chains,1
Artificial Intelligence,AI supports advanced research and innovation,1
Artificial Intelligence,AI improves customer service with chatbots,1
Artificial Intelligence,AI enhances fraud detection systems,1
Artificial Intelligence,AI reduces operational costs long term,1
Artificial Intelligence,AI supports predictive maintenance systems,1
Artificial Intelligence,AI may cause job displacement in industries,0
Artificial Intelligence,AI systems can inherit human biases,0
Artificial Intelligence,AI requires large amounts of data,0
Artificial Intelligence,AI implementation is expensive initially,0
Artificial Intelligence,Lack of emotional intelligence in AI decisions,0
Artificial Intelligence,AI raises serious privacy concerns,0
Artificial Intelligence,Overdependence on AI reduces human skills,0
Artificial Intelligence,AI systems can be hacked,0
Artificial Intelligence,Ethical concerns about autonomous decisions,0
Artificial Intelligence,AI may widen economic inequality,0
Artificial Intelligence,Complex AI systems are hard to understand,0
Artificial Intelligence,AI errors can cause major consequences,0
Artificial Intelligence,Training AI models consumes high energy,0
Artificial Intelligence,AI can be misused for surveillance,0
Artificial Intelligence,AI development lacks strict regulations,0

Remote Work,Flexible work schedule improves work life balance,1
Remote Work,No commuting saves time and money,1
Remote Work,Employees can work from any location,1
Remote Work,Reduces office infrastructure costs,1
Remote Work,Increases productivity for many employees,1
Remote Work,Access to global job opportunities,1
Remote Work,Better focus without office distractions,1
Remote Work,Improves employee satisfaction,1
Remote Work,Reduced carbon footprint from less travel,1
Remote Work,Encourages autonomy and independence,1
Remote Work,More time for family activities,1
Remote Work,Customizable home workspace comfort,1
Remote Work,Saves transportation expenses,1
Remote Work,Enables flexible career opportunities,1
Remote Work,Improves inclusivity for disabled workers,1
Remote Work,Can cause feelings of isolation,0
Remote Work,Difficult to separate work and personal life,0
Remote Work,Communication challenges in teams,0
Remote Work,Limited networking opportunities,0
Remote Work,Home distractions reduce focus,0
Remote Work,Security risks in home networks,0
Remote Work,Internet connectivity issues,0
Remote Work,Difficulty in team collaboration,0
Remote Work,Reduced social interaction,0
Remote Work,Harder for managers to monitor teams,0
Remote Work,Potential burnout from overworking,0
Remote Work,Unequal access to proper home office setup,0
Remote Work,Less team bonding activities,0
Remote Work,Reduced visibility for promotions,0
Remote Work,Time zone differences complicate meetings,0

Electric Vehicles,Zero tailpipe emissions reduce pollution,1
Electric Vehicles,Lower fuel costs compared to gasoline cars,1
Electric Vehicles,Quiet engines reduce noise pollution,1
Electric Vehicles,Government subsidies available,1
Electric Vehicles,Less maintenance required,1
Electric Vehicles,Energy efficient transportation option,1
Electric Vehicles,Can be charged at home conveniently,1
Electric Vehicles,Reduce dependence on fossil fuels,1
Electric Vehicles,Better acceleration performance,1
Electric Vehicles,Support renewable energy usage,1
Electric Vehicles,Lower long term ownership costs,1
Electric Vehicles,Regenerative braking improves efficiency,1
Electric Vehicles,Modern technology integration,1
Electric Vehicles,Reduced greenhouse gas emissions,1
Electric Vehicles,Environmentally friendly alternative,1
Electric Vehicles,Limited driving range,0
Electric Vehicles,Long charging times,0
Electric Vehicles,High initial purchase cost,0
Electric Vehicles,Lack of charging stations,0
Electric Vehicles,Battery degradation over time,0
Electric Vehicles,Expensive battery replacement,0
Electric Vehicles,Electric grid dependency issues,0
Electric Vehicles,Heavy battery weight affects performance,0
Electric Vehicles,Limited model availability,0
Electric Vehicles,Charging infrastructure uneven globally,0
Electric Vehicles,Environmental impact of battery production,0
Electric Vehicles,Range anxiety for drivers,0
Electric Vehicles,Slower refueling compared to petrol,0
Electric Vehicles,Resale value uncertainty,0
Electric Vehicles,Recycling battery challenges,0

Social Media,Connects people worldwide instantly,1
Social Media,Useful for business marketing,1
Social Media,Access to real time news,1
Social Media,Encourages creative expression,1
Social Media,Supports online communities,1
Social Media,Networking opportunities for professionals,1
Social Media,Platform for education and learning,1
